temperature_C,liam_row_present,patched_row_present,liam_solid_phase_names,patched_solid_phase_names,liam_has_quartz,patched_has_quartz,liam_has_feldspar,patched_has_feldspar,liam_has_feldspar_1,patched_has_feldspar_1,same_phase_set
882.0,True,False,,,False,,False,,False,,False
881.0,True,False,,,False,,False,,False,,False
880.0,True,False,,,False,,False,,False,,False
879.0,True,False,,,False,,False,,False,,False
878.0,True,False,,,False,,False,,False,,False
877.0,True,False,,,False,,False,,False,,False
876.0,True,False,,,False,,False,,False,,False
875.0,True,False,Feldspar,,False,,True,,False,,False
874.0,True,False,Feldspar,,False,,True,,False,,False
873.0,True,False,Feldspar,,False,,True,,False,,False
872.0,True,False,Feldspar,,False,,True,,False,,False
871.0,True,False,Feldspar,,False,,True,,False,,False
870.0,True,False,Feldspar,,False,,True,,False,,False
869.0,True,False,Feldspar,,False,,True,,False,,False
868.0,True,False,Feldspar,,False,,True,,False,,False
867.0,True,False,Feldspar,,False,,True,,False,,False
866.0,True,False,Feldspar,,False,,True,,False,,False
865.0,True,False,Feldspar,,False,,True,,False,,False
864.0,True,False,Feldspar,,False,,True,,False,,False
863.0,True,False,Feldspar,,False,,True,,False,,False
862.0,True,False,Feldspar,,False,,True,,False,,False
861.0,True,False,Feldspar,,False,,True,,False,,False
860.0,True,False,Feldspar,,False,,True,,False,,False
859.0,True,False,Feldspar,,False,,True,,False,,False
858.0,True,False,Feldspar,,False,,True,,False,,False
857.0,True,False,Feldspar,,False,,True,,False,,False
856.0,True,False,Feldspar,,False,,True,,False,,False
855.0,True,False,Feldspar,,False,,True,,False,,False
854.0,True,False,Feldspar,,False,,True,,False,,False
853.0,True,False,Feldspar,,False,,True,,False,,False
852.0,True,False,Feldspar,,False,,True,,False,,False
851.0,True,False,Feldspar,,False,,True,,False,,False
850.0,True,False,Feldspar,,False,,True,,False,,False
849.0,True,False,Feldspar,,False,,True,,False,,False
848.0,True,False,Feldspar,,False,,True,,False,,False
847.0,True,False,Feldspar,,False,,True,,False,,False
846.0,True,False,Feldspar,,False,,True,,False,,False
845.0,True,False,Feldspar,,False,,True,,False,,False
844.0,True,False,Feldspar,,False,,True,,False,,False
843.0,True,False,Feldspar,,False,,True,,False,,False
842.0,True,False,Feldspar,,False,,True,,False,,False
841.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
840.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
839.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
838.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
837.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
836.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
835.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
834.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
833.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
832.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
831.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
830.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
829.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
828.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
827.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
826.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
825.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
824.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
823.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
822.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
821.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
820.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
819.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
818.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
817.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
